Type;Immatriculation;Marque;Modele;Prix;Km;Etat;Divers1;Divers2
CampingCar;EO-322-WY;Citroën;SpaceTourer;234;62895;En maintenance;7.7;7
Moto;BH-717-RY;BMW;F850GS;134;2507;Loué;1100;A
Voiture;CI-414-SI;Hyundai;Bayon;119;74262;Disponible;4;Oui
Voiture;OD-366-SA;Volkswagen;ID.3;112;147841;Disponible;5;Oui
Voiture;JX-600-KX;Volkswagen;ID.5;131;142919;Disponible;7;Oui
Voiture;IG-209-DS;Dacia;Sandero;32;81751;En maintenance;4;Non
Voiture;CZ-815-ZP;BMW;Serie 2;85;83596;Disponible;5;Oui
CampingCar;XE-775-LX;Volkswagen;Grand California;392;134583;Loué;8.1;3
Moto;GG-088-XY;Suzuki;GSX-S750;79;96222;Disponible;650;A2
Voiture;AX-448-RG;Dacia;Jogger;163;139131;Disponible;2;Non
Voiture;BZ-829-VR;Kia;EV6;143;168545;Disponible;5;Oui
CampingCar;UK-586-HB;Ford;Ranger (Cellule);156;73772;Loué;7.8;7
Voiture;VJ-322-YS;Dacia;Jogger;115;1446;Disponible;5;Oui
Voiture;OU-222-LI;Citroën;C4 X;199;39073;Loué;5;Oui
Voiture;NB-467-UX;Mercedes;GLB;33;838;Disponible;4;Oui
Moto;XS-495-SN;Honda;CB1000R;47;13901;Disponible;750;A
Voiture;RD-529-UN;Tesla;Model Y;98;104518;Loué;4;Non
Moto;NI-217-MA;Harley-Davidson;Low Rider S;68;11541;Loué;1800;A
Voiture;HN-067-ON;Skoda;Kodiaq;94;28937;Disponible;5;Oui
Voiture;CX-838-JL;Nissan;Ariya;168;93953;Disponible;2;Oui
Voiture;JK-181-LH;Ford;Fiesta;98;81735;Disponible;9;Oui
Voiture;RW-595-YQ;Mercedes;Classe E;126;116294;Disponible;4;Oui
CampingCar;SL-873-TD;Volkswagen;Crafter;377;248774;Disponible;5.1;5
Voiture;AZ-458-GU;Volkswagen;ID.5;184;155117;Loué;5;Oui
Voiture;RJ-382-JL;Toyota;C-HR;82;153383;Disponible;5;Non
Moto;DZ-949-GL;KTM;Super Adventure 1290;214;44364;Disponible;1800;A
Voiture;IS-612-TS;Skoda;Kodiaq;150;113888;Loué;7;Oui
Moto;JN-545-AA;KTM;Super Duke 1290;198;58910;Disponible;1000;A
Voiture;GA-187-BA;Volkswagen;Passat;107;12520;Loué;5;Oui
Voiture;BW-436-UA;Dacia;Spring;129;58426;Disponible;5;Non
Voiture;GL-456-VT;Tesla;Model 3;188;87858;Disponible;2;Oui
Voiture;GJ-752-YN;Dacia;Duster;80;76185;Disponible;4;Oui
Voiture;SP-238-WM;Volvo;C40;40;60550;Disponible;5;Oui
CampingCar;OA-709-PP;Mercedes;Marco Polo;103;6183;En maintenance;8.8;5
Moto;SI-204-NE;Ducati;Panigale V4;216;75790;Disponible;125;A2
CampingCar;AR-742-EV;Citroën;Berlingo;286;151850;Disponible;6.8;5
Voiture;KB-832-AR;Citroën;C3;39;101651;Disponible;4;Oui
Voiture;TT-521-RI;Opel;Astra;92;86556;Disponible;5;Oui
Moto;OB-038-OK;Ducati;Streetfighter V4;196;67783;Disponible;1800;A
CampingCar;EM-871-IG;Renault;Master;388;222298;En maintenance;8.3;6
Voiture;FL-857-AS;Kia;Ceed;181;18592;Disponible;4;Oui
Moto;JZ-142-WD;KTM;Adventure 390;131;78144;Disponible;1000;A
Moto;FB-965-KR;BMW;S1000RR;121;14663;Disponible;600;A2
Moto;KV-084-UC;KTM;Super Duke 1290;238;43837;Disponible;1250;A
Voiture;KU-203-XX;Mercedes;GLA;186;158222;Disponible;4;Oui
CampingCar;SW-670-GT;Volkswagen;Caddy California;113;128709;Disponible;7.7;3
Voiture;XS-578-MD;Volkswagen;Up!;65;128408;En maintenance;4;Oui
Voiture;FI-195-OR;BMW;X3;45;502;Disponible;4;Oui
CampingCar;HF-824-GU;Renault;Kangoo;175;151418;Loué;7.2;6
Voiture;VG-388-EM;Peugeot;Rifter;70;123430;Disponible;9;Oui
Voiture;CP-802-XC;Ford;Puma;40;183602;Disponible;7;Oui
Moto;HW-901-XO;Kawasaki;Ninja 400;137;84049;Disponible;800;A
Voiture;YE-601-HR;Mini;Cooper S;39;99082;Loué;4;Oui
Voiture;TX-722-YT;Opel;Astra;82;71309;Disponible;5;Oui
Voiture;UX-305-YU;Citroën;C4;181;124891;Loué;5;Oui
CampingCar;XD-462-EQ;Renault;Trafic SpaceNomad;345;121246;Disponible;8.2;2
Moto;GY-707-IL;Honda;NT1100;58;40639;Disponible;750;A
Moto;HJ-425-WL;KTM;Duke 390;207;57842;Disponible;1250;A
Moto;AR-265-XA;KTM;Duke 390;114;11239;Loué;300;A2
Voiture;MO-125-KT;Renault;Captur;79;27687;Disponible;7;Oui
Voiture;QT-383-MV;Toyota;Highlander;199;16750;Loué;7;Non
Voiture;RR-561-YE;Peugeot;208;69;42991;Disponible;4;Oui
Moto;RS-066-KV;Ducati;Scrambler;41;97618;Disponible;1800;A
Moto;PO-073-RG;Royal Enfield;Classic 350;233;27283;Disponible;600;A2
Moto;IM-112-AP;Royal Enfield;Himalayan;175;32240;Disponible;400;A2
Voiture;GI-692-LE;Audi;A1;168;70121;Disponible;5;Oui
Voiture;WG-811-WP;Opel;Mokka;94;150801;Disponible;5;Oui
Moto;MW-788-MR;Suzuki;V-Strom 1050;112;97198;Disponible;1100;A
Moto;SD-581-GJ;BMW;R18;179;50730;Disponible;650;A2
Voiture;GX-240-YH;BMW;Serie 5;171;135412;Disponible;4;Oui
Voiture;PK-725-AD;Seat;Leon;196;16007;Disponible;2;Non
Moto;XD-012-BA;Harley-Davidson;Street Glide;95;74622;Disponible;1800;A
Voiture;II-796-GO;Kia;Niro;75;45675;Disponible;5;Oui
Voiture;MJ-995-XJ;Kia;Rio;92;18002;Disponible;5;Non
Voiture;TD-499-JL;Volvo;XC90;175;162675;Disponible;2;Oui
Voiture;OJ-803-JH;Nissan;Qashqai;65;79545;Loué;5;Oui
Voiture;WM-341-WY;Mini;Cooper S;147;84313;Disponible;4;Oui
Voiture;AW-073-VS;Nissan;X-Trail;50;25073;Disponible;7;Oui
Voiture;ZP-168-DU;Peugeot;3008;51;20122;Disponible;7;Oui
Moto;BJ-717-PM;Triumph;Street Triple;90;27390;Disponible;300;A2
Voiture;BF-465-IK;Seat;Arona;198;84739;Disponible;4;Oui
Voiture;SK-047-VP;Hyundai;i10;136;41365;Disponible;5;Oui
Voiture;EV-292-YC;Volkswagen;ID.4;128;189691;Disponible;4;Oui
CampingCar;DI-293-GC;Iveco;Daily;124;121022;En maintenance;5.9;5
CampingCar;EH-456-XM;Peugeot;Traveller;123;16417;Loué;8.5;6
Voiture;VT-649-FK;Volvo;C40;190;180972;Loué;5;Oui
Voiture;XQ-447-XX;Dacia;Sandero;68;13843;Disponible;5;Oui
Voiture;KE-277-FN;Seat;Arona;199;197846;Disponible;5;Oui
Voiture;LC-574-CB;Toyota;Prius;146;36447;Disponible;5;Oui
Voiture;JZ-727-SB;Volvo;C40;138;3366;Loué;9;Oui
Moto;BD-194-VM;Yamaha;R7;226;89004;Disponible;1300;A
Moto;CH-225-QR;Ducati;Scrambler;209;39053;En maintenance;1250;A
Moto;RA-907-SN;BMW;R1250RT;105;29910;Disponible;125;A2
Voiture;VJ-073-AC;Toyota;Highlander;153;84657;Disponible;5;Oui
Voiture;JH-758-SL;Ford;Focus;130;41627;Disponible;5;Oui
Voiture;TD-654-MU;Tesla;Model 3;86;20817;Disponible;4;Oui
Voiture;AK-929-IH;Seat;Ibiza;38;29895;Disponible;9;Non
Voiture;VA-272-YJ;Opel;Corsa;63;113241;Disponible;5;Oui
Voiture;RP-122-AO;Hyundai;Ioniq 5;117;132639;Disponible;5;Oui
Moto;AO-612-BF;Ducati;Monster;226;3021;Loué;300;A2
Moto;TF-297-UI;Suzuki;Hayabusa;84;25277;Disponible;1100;A
CampingCar;RC-165-ZU;Renault;Trafic SpaceNomad;194;221076;Loué;9.0;2
Voiture;MI-939-JY;Volkswagen;ID.3;166;71739;Disponible;5;Oui
Voiture;BA-250-ER;Peugeot;208;154;114283;Disponible;7;Oui
CampingCar;OI-999-PK;Peugeot;Traveller;273;19094;Loué;5.1;2
Moto;UF-147-YM;Yamaha;Tracer 7;89;92814;Disponible;1250;A
Moto;AU-441-GT;Suzuki;Hayabusa;144;98933;Disponible;400;A2
Voiture;IV-733-CC;BMW;Serie 1;48;15471;Loué;7;Oui
Voiture;OP-666-EE;Tesla;Model S;126;108789;Disponible;4;Oui
Voiture;LJ-417-UB;Audi;Q8;61;156871;Disponible;7;Oui
Moto;KR-348-LX;BMW;CE 04;75;91859;Disponible;1300;A
Voiture;VR-955-WC;Tesla;Model X;99;35074;Disponible;2;Oui
Voiture;EK-335-IE;Ford;Explorer;197;10128;Disponible;4;Non
Moto;HT-496-AR;KTM;Super Duke 1290;148;47398;Disponible;125;A2
Voiture;CX-897-AH;Hyundai;Santa Fe;100;130509;Disponible;2;Oui
Moto;WS-841-BI;Royal Enfield;Meteor 350;235;82328;Disponible;600;A2
Voiture;KM-041-XO;Volkswagen;Polo;171;90374;Disponible;4;Oui
Voiture;HS-409-CX;Volkswagen;Tiguan;42;163177;Disponible;9;Oui
Voiture;AC-492-AH;Volkswagen;ID.4;31;166924;Loué;5;Oui
Voiture;OO-298-RP;Kia;Stonic;142;128915;Loué;5;Oui
Voiture;XS-795-GE;Mini;Countryman;64;81655;Loué;5;Oui
Moto;VP-242-HS;BMW;R1250GS;141;5798;Disponible;500;A2
Moto;EJ-321-AH;Honda;CMX500 Rebel;109;59071;Disponible;300;A2
Moto;GS-671-DK;BMW;F900R;64;69530;Loué;650;A2
Voiture;IG-211-AF;Audi;A6;49;17442;Disponible;5;Non
Voiture;GV-054-SL;BMW;Serie 4;121;134859;Loué;4;Non
Moto;MF-325-FM;BMW;F900XR;146;31801;Disponible;750;A
CampingCar;RB-062-YA;Volkswagen;Crafter;183;49324;En maintenance;7.2;7
Moto;FZ-932-HX;Suzuki;SV650;190;65984;En maintenance;1000;A
CampingCar;DV-955-GC;Renault;Master;393;249913;Disponible;7.0;7
Voiture;NX-492-HO;Kia;Ceed;103;140275;En maintenance;9;Oui
Voiture;BP-455-IP;Audi;Q3;82;5016;Disponible;5;Oui
Voiture;XR-631-RT;Peugeot;108;172;189807;Disponible;9;Oui
Moto;TM-570-PU;Ducati;Scrambler;203;59912;Loué;300;A2
Voiture;JZ-403-NS;Citroën;C1;86;195282;Loué;5;Oui
Moto;OL-500-ZB;Harley-Davidson;Road Glide;54;74616;En maintenance;1100;A
Voiture;QM-689-TV;Toyota;Prius;73;167282;En maintenance;5;Oui
Voiture;UP-020-WL;Ford;Kuga;197;162692;Disponible;5;Oui
Voiture;IV-686-OM;Volkswagen;Polo;127;161309;Disponible;7;Oui
Voiture;CK-591-CC;Kia;Sportage;153;69962;Disponible;5;Oui
Moto;NM-502-TQ;Triumph;Speed Triple;109;20778;Loué;900;A
Moto;GV-985-VM;KTM;Adventure 390;153;86139;Loué;300;A2
Voiture;RI-442-KN;BMW;X1;127;109158;Disponible;7;Oui
Voiture;HS-129-YG;Ford;Mustang Mach-E;132;84699;Loué;5;Oui
Voiture;ZV-982-PA;Fiat;Tipo;86;119478;Disponible;4;Oui
Voiture;HV-561-IH;Audi;Q2;139;123303;Disponible;4;Non
Voiture;MF-678-WF;Fiat;Tipo;110;181853;Disponible;5;Oui
Voiture;BT-627-FO;Seat;Ateca;100;59515;Loué;5;Oui
Voiture;PR-909-CE;Mini;Countryman;200;118968;Disponible;4;Oui
CampingCar;WL-777-GS;Peugeot;Boxer;357;70798;Disponible;8.5;2
Voiture;IJ-742-EX;BMW;Serie 5;45;51696;En maintenance;2;Oui
Moto;KO-560-AO;Royal Enfield;Continental GT 650;98;19164;Disponible;1300;A
Voiture;AR-100-SH;Volkswagen;ID.3;77;78929;Disponible;5;Oui
Voiture;PY-013-CN;Mini;Cooper;40;53564;Loué;7;Oui
CampingCar;XX-025-QI;Mercedes;Sprinter;340;139414;En maintenance;7.1;7
Voiture;TJ-204-MG;Dacia;Duster;85;3361;Disponible;2;Non
Voiture;BK-901-QO;Hyundai;Santa Fe;165;145577;Disponible;5;Oui
CampingCar;DJ-737-DH;Iveco;Daily;191;79716;Loué;6.0;5
Voiture;DX-269-GM;Volvo;V60;38;30792;Disponible;5;Oui
Moto;GP-503-FI;Harley-Davidson;Low Rider S;146;28338;Loué;500;A2
CampingCar;JA-657-AJ;Citroën;Jumper;90;206347;Loué;6.7;2
Voiture;SR-810-GI;Tesla;Model X;165;50697;Disponible;9;Oui
Voiture;GR-581-IO;Volkswagen;Golf;61;67710;Loué;9;Oui
Voiture;AP-449-EJ;Mercedes;EQA;110;58800;Disponible;4;Oui
Voiture;LF-774-AU;Nissan;Micra;164;15909;Disponible;4;Non
Voiture;GN-488-RU;Volvo;XC60;106;16727;Disponible;5;Oui
Voiture;VK-214-DH;Mini;Clubman;153;75780;Disponible;9;Oui
Moto;WK-848-II;Yamaha;R7;62;67081;Disponible;800;A
Voiture;MF-945-MZ;Renault;Clio;121;109363;Disponible;5;Oui
Voiture;KR-564-JP;Citroën;C5 X;97;51815;Disponible;7;Oui
Voiture;PA-858-KK;Peugeot;2008;135;5975;Disponible;5;Non
CampingCar;YU-200-OD;Peugeot;Rifter;244;52606;Disponible;7.1;4
Voiture;HH-907-RQ;Volvo;V60;150;158278;Loué;9;Oui
Moto;XT-851-QG;Ducati;Monster;60;9187;Disponible;400;A2
Voiture;WW-270-KU;Dacia;Spring;182;37215;Disponible;5;Oui
Voiture;XX-827-MQ;Toyota;Highlander;136;46525;Disponible;4;Oui
Voiture;LC-209-SI;Kia;Picanto;58;57420;Disponible;5;Oui
Voiture;IA-148-CT;Peugeot;3008;53;166376;Disponible;5;Oui
Moto;QX-668-HL;Honda;Forza 350;138;95229;Disponible;500;A2
Voiture;LI-173-GA;Tesla;Model Y;115;145248;Loué;2;Oui
Voiture;UF-752-GE;Seat;Arona;194;76755;Disponible;4;Oui
Moto;PY-884-DN;Triumph;Street Triple;201;65645;Disponible;1250;A
Voiture;NF-899-SC;BMW;Serie 4;87;120131;Loué;7;Oui
Voiture;QH-092-HF;Volkswagen;ID.5;56;84838;Disponible;2;Oui
Voiture;HE-464-NS;BMW;X3;195;56763;Loué;2;Non
Voiture;YZ-086-AY;Nissan;X-Trail;99;3208;Disponible;5;Oui
CampingCar;ZH-416-NI;Renault;Trafic SpaceNomad;362;203855;Disponible;5.5;2
CampingCar;QU-134-LD;Ford;Ranger (Cellule);199;203268;Disponible;8.4;7
Voiture;TO-765-QE;Tesla;Model Y;77;137052;Loué;5;Oui
Voiture;KO-839-YX;Opel;Corsa;114;76065;Loué;4;Oui
Moto;NO-518-KM;Ducati;Monster;59;31114;Disponible;650;A2
Moto;JJ-489-DZ;Triumph;Tiger 900;115;48946;Disponible;1300;A
Voiture;NA-290-NJ;Seat;Ateca;108;145604;Disponible;5;Oui
Voiture;GV-439-TT;Renault;Twingo;183;24084;Disponible;2;Oui
Moto;TR-258-SQ;BMW;S1000RR;161;75276;Disponible;900;A
Voiture;UF-990-YW;Mini;Cooper;46;63661;Disponible;5;Oui
Voiture;TG-450-OA;Volvo;XC40;112;199645;Loué;7;Oui
Voiture;PE-852-DY;Opel;Corsa;113;156477;En maintenance;7;Oui
Voiture;QY-631-GR;BMW;i4;92;113765;Disponible;5;Oui
Voiture;XF-157-QA;Renault;Espace;34;97213;Disponible;4;Oui
Moto;TB-951-MI;Yamaha;MT-07;100;81559;Disponible;650;A2
Voiture;VF-545-XL;Hyundai;Santa Fe;170;107909;Loué;5;Oui
Voiture;PU-372-II;Ford;Kuga;122;109616;En maintenance;2;Oui
Voiture;CF-506-DN;Tesla;Model X;53;117808;Disponible;4;Oui
Voiture;RV-943-BN;Volkswagen;Polo;183;107011;Disponible;5;Oui
Moto;HI-628-WC;Kawasaki;Z650;207;83759;Loué;900;A
Voiture;XY-614-KW;Peugeot;208;198;53902;Disponible;4;Oui
CampingCar;CT-171-GC;Volkswagen;Grand California;122;50522;Disponible;6.2;5
Voiture;YW-617-YW;Kia;Picanto;104;37836;En maintenance;5;Oui
Moto;JM-177-QG;Suzuki;Hayabusa;211;14941;Disponible;750;A
CampingCar;VT-324-ER;Ford;Transit 2T;288;114775;Disponible;6.3;5
CampingCar;CE-897-PL;Fiat;Ducato;360;67746;Disponible;6.9;3
Voiture;HY-625-PN;Renault;Megane;117;22605;Disponible;5;Oui
Voiture;AM-019-IU;Fiat;Tipo;193;94388;Disponible;4;Oui
Voiture;GR-617-MY;Citroën;C3;38;47418;Disponible;5;Oui
Voiture;FF-372-MT;BMW;X2;89;174910;Disponible;5;Non
Moto;XX-615-UP;Yamaha;R6;63;30235;Disponible;800;A
Voiture;PR-568-DC;Renault;Megane;175;119142;Loué;5;Oui
Voiture;FT-841-NM;Nissan;Qashqai;86;186909;Disponible;4;Oui
CampingCar;EE-712-XW;Renault;Master;193;189243;Disponible;7.1;7
Voiture;WY-471-IL;Citroën;C4;162;77698;Loué;5;Oui
Moto;UE-212-ZX;Honda;X-ADV;125;62546;Disponible;125;A2
Moto;QJ-010-BC;Kawasaki;Ninja 400;243;28659;Disponible;1100;A
Moto;HJ-941-KF;BMW;S1000XR;207;98880;Disponible;900;A
Voiture;CD-547-JM;Volvo;S60;131;98870;Disponible;7;Non
Voiture;PO-503-WC;Peugeot;208;184;145171;Disponible;4;Oui
Voiture;TR-111-XD;Ford;Focus;47;65527;Loué;5;Oui
CampingCar;WS-651-UJ;Fiat;Ducato;241;105813;Disponible;8.7;5
Voiture;OW-351-BL;Mercedes;GLC;176;20029;Disponible;5;Oui
CampingCar;GZ-166-NS;Iveco;Daily;387;99229;Loué;8.3;5
Moto;NG-335-TV;Royal Enfield;Continental GT 650;161;61362;Loué;500;A2
Voiture;GY-959-SB;Mercedes;EQA;179;85655;Disponible;4;Oui
Voiture;PJ-396-MW;Ford;Puma;78;165115;Disponible;9;Oui
Moto;MM-526-OD;Yamaha;TMAX;45;4694;Disponible;900;A
Voiture;MI-487-IG;Volkswagen;ID.3;80;13619;Disponible;5;Oui
Voiture;RZ-215-AA;Hyundai;Kona;78;133468;Disponible;5;Non
Voiture;AX-226-VM;Peugeot;508;71;58771;Disponible;2;Oui
Voiture;CI-541-OF;Renault;Zoe;119;24657;En maintenance;5;Oui
Voiture;SI-808-VO;Renault;Twingo;101;37779;Disponible;5;Oui
Voiture;JA-312-AA;Peugeot;2008;75;1792;Disponible;5;Oui
Voiture;ZU-705-OV;Citroën;C5 Aircross;165;96107;Loué;9;Oui
Moto;YP-733-PD;Harley-Davidson;Road Glide;205;89041;Disponible;1100;A
Voiture;II-560-CN;Nissan;Juke;173;143317;Disponible;2;Oui
Voiture;SP-087-RM;Citroën;C3 Aircross;98;106060;Loué;7;Oui
CampingCar;IU-807-GM;Renault;Master;259;5346;Disponible;5.5;4
Voiture;MK-462-DV;Ford;Kuga;52;191864;Disponible;9;Oui
Moto;JQ-401-SR;Honda;X-ADV;71;88102;Disponible;800;A
Voiture;RV-991-TA;Dacia;Spring;129;11464;Disponible;7;Oui
CampingCar;BP-138-QJ;Iveco;Daily;124;122648;En maintenance;7.7;5
Moto;MJ-607-DX;Honda;Gold Wing;176;7841;Disponible;1800;A
CampingCar;IP-647-UY;Peugeot;Boxer;325;131579;Disponible;6.0;3
CampingCar;OS-539-OD;Peugeot;Traveller;140;50796;Disponible;9.0;5
Voiture;PL-382-UP;Fiat;500;101;131064;Disponible;7;Oui
Voiture;WN-925-TQ;Opel;Corsa;38;28995;En maintenance;2;Oui
Voiture;VP-061-QB;Mini;Countryman;95;151337;En maintenance;5;Oui
Voiture;UW-289-VJ;Nissan;Juke;62;8514;Disponible;9;Oui
Moto;KK-406-VH;Triumph;Speed Triple;159;73966;Loué;900;A
Voiture;CA-098-LC;Citroën;Berlingo;114;74103;Disponible;4;Non
Moto;PB-948-RS;Ducati;Diavel V4;171;33920;Disponible;900;A
Voiture;VS-590-VB;Skoda;Superb;157;146619;Disponible;7;Oui
Voiture;VU-899-GD;Dacia;Duster;35;2500;Disponible;5;Oui
Voiture;KX-252-NF;Hyundai;i30;30;168749;Disponible;9;Oui
Voiture;ZU-984-GH;Fiat;Tipo;169;69604;Disponible;9;Oui
CampingCar;CI-212-RQ;Ford;Transit Custom;96;79037;Disponible;6.3;4
Moto;XZ-091-LU;Royal Enfield;Meteor 350;151;78726;Disponible;500;A2
Moto;TY-151-BT;Suzuki;V-Strom 1050;169;37587;Loué;650;A2
Moto;VR-411-OG;Triumph;Trident 660;123;29779;Disponible;1000;A
Moto;SS-734-HB;Royal Enfield;Himalayan;125;11906;Disponible;1100;A
Moto;SZ-125-RD;Suzuki;SV650;49;91045;Disponible;800;A
Voiture;QR-147-OL;Audi;Q3;89;137603;Disponible;5;Non
CampingCar;LX-340-IN;Mercedes;Vito;281;164366;Disponible;6.8;4
Voiture;PD-892-KB;Tesla;Model S;134;124874;Disponible;4;Oui
Moto;QU-779-RJ;BMW;R1250GS;248;34175;Disponible;300;A2
Moto;UZ-258-OS;Triumph;Tiger 900;235;59803;Disponible;1100;A
Moto;JT-700-XG;Royal Enfield;Continental GT 650;124;18723;Disponible;1100;A
Voiture;WH-961-HM;Hyundai;Santa Fe;190;118750;Disponible;5;Oui
Voiture;HE-873-RP;Dacia;Spring;145;197880;Disponible;5;Oui
Moto;EL-047-FO;Triumph;Bonneville T120;173;29746;Loué;300;A2
Voiture;ZT-922-IA;Peugeot;308;89;158561;Disponible;5;Oui
Moto;LK-346-ZJ;Honda;CB1000R;223;47549;Loué;900;A
Moto;GD-926-RZ;Ducati;Streetfighter V4;193;48574;Loué;400;A2
Moto;YP-986-SD;Honda;X-ADV;207;91278;En maintenance;1250;A
Voiture;MJ-653-GA;Tesla;Model 3;94;109502;Loué;5;Oui
CampingCar;IU-012-WY;Iveco;Daily;297;240245;Disponible;5.9;4
Moto;QX-494-GB;Royal Enfield;Meteor 350;139;59165;Disponible;800;A
Moto;QH-614-NI;KTM;Adventure 390;67;40319;Disponible;1000;A
Moto;LA-464-CB;Ducati;Panigale V4;247;46457;Disponible;125;A2
Moto;MK-711-QI;Yamaha;XMAX;133;74409;Disponible;1100;A
CampingCar;HW-025-IF;Peugeot;Rifter;194;186770;Disponible;8.2;7
Voiture;WO-522-FL;Opel;Astra;63;14169;Disponible;5;Oui
Voiture;SE-158-KD;Peugeot;2008;115;97561;En maintenance;5;Oui
Moto;XM-300-QD;Harley-Davidson;Street Glide;64;71988;Disponible;500;A2
CampingCar;LG-909-TI;Iveco;Daily;298;233018;Disponible;7.0;7
Voiture;OG-621-XG;Skoda;Kamiq;36;26064;Disponible;4;Oui
Voiture;FS-935-CA;BMW;Serie 2;89;101901;Disponible;4;Oui
Voiture;SY-594-XX;Tesla;Model 3;81;97084;Disponible;5;Non
Voiture;ZG-366-AT;Volvo;XC90;67;192662;Disponible;9;Oui
Voiture;RH-193-SR;Ford;Mustang Mach-E;135;154770;Loué;2;Oui
Moto;UI-898-GG;Triumph;Tiger 900;165;65511;Loué;1300;A
Voiture;OE-515-OS;Tesla;Model S;120;129097;Disponible;5;Oui
Voiture;WF-043-PM;Seat;Leon;98;70238;Disponible;5;Oui
Voiture;LG-684-BS;Renault;Twingo;98;35295;Disponible;9;Oui
Moto;KU-892-LZ;Honda;CB1000R;154;7107;Disponible;500;A2
Voiture;MW-506-BX;BMW;Serie 2;134;36157;Disponible;5;Oui
Voiture;CT-474-JM;Dacia;Spring;39;70959;Disponible;7;Oui
CampingCar;SS-563-LF;Fiat;Ducato;387;24656;Loué;6.3;6
Moto;SV-728-BX;Triumph;Rocket 3;183;3154;Disponible;600;A2
Moto;BG-028-BB;Royal Enfield;Classic 350;111;20091;Loué;600;A2
Voiture;SB-046-UJ;Kia;Stonic;56;88087;Disponible;4;Oui
Moto;UN-490-AH;BMW;R1250RT;183;90622;Disponible;125;A2
Voiture;BS-021-ZF;Nissan;Leaf;69;88393;Disponible;5;Oui
CampingCar;JE-588-VG;Volkswagen;Grand California;117;230466;Disponible;7.2;6
Moto;MG-214-TS;KTM;Adventure 890;238;29886;Loué;400;A2
Moto;UB-738-HO;BMW;CE 04;47;4310;Loué;800;A
Voiture;OR-099-YQ;Mini;Clubman;95;39247;Disponible;7;Oui
Voiture;LK-388-ME;Toyota;Corolla;71;122345;Loué;4;Oui
CampingCar;RE-369-PV;Volkswagen;California;228;6282;Disponible;7.3;6
Voiture;RG-766-CQ;Volvo;C40;166;144313;Disponible;7;Oui
Moto;NC-025-IH;BMW;CE 04;160;9059;Disponible;1800;A
Moto;LU-854-YM;BMW;R1250GS;54;31759;Disponible;300;A2
Voiture;HQ-107-WJ;Audi;Q7;40;189270;Loué;5;Oui
Moto;HH-611-IS;Harley-Davidson;Sportster S;104;28958;Disponible;1250;A
Voiture;BY-496-SB;Fiat;Panda;64;81560;Disponible;5;Oui
Moto;RJ-054-IB;Royal Enfield;Himalayan;234;43539;Disponible;300;A2
Moto;CE-478-UT;Harley-Davidson;Sportster S;220;50894;Loué;1250;A
Voiture;ZA-751-KL;Fiat;Tipo;193;23923;Loué;4;Non
Voiture;PH-783-RG;Dacia;Spring;189;109463;Disponible;2;Oui
Voiture;OE-121-LI;Mini;Clubman;169;168243;Disponible;5;Oui
Voiture;ZV-777-FA;Ford;Mustang Mach-E;63;118672;Loué;9;Oui
Voiture;GB-737-BO;Citroën;C4;111;90642;Disponible;5;Oui
Voiture;ZE-966-SC;Mini;Cooper;60;114202;Disponible;9;Oui
Moto;WD-620-HQ;Honda;Forza 125;206;33856;Disponible;600;A2
CampingCar;SK-241-JU;Renault;Kangoo;128;194264;En maintenance;6.3;7
CampingCar;TZ-803-XK;Ford;Transit Custom;398;200053;Loué;5.3;3
CampingCar;JI-792-LQ;Iveco;Daily;163;159480;Disponible;7.8;4
Voiture;QU-133-TB;Peugeot;3008;76;198292;Disponible;2;Non
Voiture;PA-802-BH;Mini;Countryman;66;63750;Disponible;2;Oui
Voiture;IS-888-YW;Skoda;Enyaq;105;146828;Disponible;5;Oui
Moto;UW-194-TB;Honda;Africa Twin;51;14548;En maintenance;1300;A
Voiture;ZW-816-DI;Audi;A5;187;47025;Disponible;9;Oui
Voiture;UE-179-FO;Peugeot;208;64;86698;Disponible;4;Oui
Moto;TI-062-VM;Triumph;Street Triple;111;54480;Disponible;1000;A
CampingCar;UC-141-OT;Fiat;Scudo;127;91194;Disponible;6.6;7
Voiture;NS-658-DJ;Tesla;Model X;73;80958;Loué;2;Oui
Moto;MK-206-WT;BMW;S1000XR;152;20104;Disponible;125;A2
CampingCar;DF-376-UQ;Renault;Kangoo;369;180668;Loué;5.3;3
Moto;XH-998-TE;Royal Enfield;Meteor 350;227;50386;Disponible;1800;A
Voiture;SA-472-WH;BMW;i4;190;7212;Disponible;4;Non
Voiture;ZV-275-ZC;Mercedes;CLA;46;2686;Disponible;5;Oui
CampingCar;AY-558-MK;Peugeot;Traveller;140;179910;Disponible;7.8;7
Voiture;SJ-437-SQ;Fiat;500X;53;178026;Disponible;7;Oui
Voiture;WZ-834-SD;Volvo;XC60;144;111679;Disponible;4;Oui
Voiture;NJ-414-YT;Seat;Leon;185;140078;Disponible;2;Oui
Voiture;WG-573-KL;Volvo;XC90;172;80783;Loué;4;Oui
Voiture;DK-945-IH;Ford;Puma;45;155802;Disponible;5;Oui
Voiture;SH-003-RA;Seat;Ateca;109;11560;Disponible;7;Oui
Voiture;MS-122-FG;Nissan;Qashqai;143;73155;Disponible;2;Oui
CampingCar;QK-054-ZA;Renault;Trafic SpaceNomad;205;143915;Disponible;5.0;7
Voiture;LY-929-CT;BMW;Serie 1;197;98257;Disponible;5;Oui
